x,y,z,Bx,By,Bz
88,146,0,-9456.1338,-6013.2158,-3506.2341
86,146,0,-8309.4258,-5356.9121,-2983.364
84,146,0,-7369.4619,-4795.4722,-2541.0281
82,146,0,-6562.9199,-4303.728,-2163.6001
80,146,0,-5864.5581,-3875.8721,-1852.282
80,148,0,-5441.4541,-4023.0081,-1757.324
82,148,0,-6050.8682,-4474.0962,-2049.4102
84,148,0,-6767.2603,-4992.9438,-2400.394
86,148,0,-7618.2764,-5587.2959,-2817.488
88,148,0,-8643.582,-6282.3198,-3309.106
90,148,0,-9887.6523,-7099.312,-3870.4402
92,148,0,-11388.9502,-8067.312,-4473.8442
94,148,0,-12720.7666,-8977.2324,-4989.502
94,150,0,-11612.5225,-9174.7041,-4679.3862
92,150,0,-10370.8564,-8301.5684,-4210.606
90,150,0,-9033.0303,-7314.208,-3650.4741
88,150,0,-7919.978,-6479.792,-3133.614
86,150,0,-6998.0439,-5761.5361,-2669.6421
84,150,0,-6222.7539,-5147.8237,-2272.9819
82,150,0,-5566.4619,-4609.6162,-1938.826
80,150,0,-5007.5322,-4143.04,-1659.962
80,152,0,-4557.9839,-4224.3521,-1552.984
82,152,0,-5042.3901,-4698.6719,-1807.808
84,152,0,-5613.3403,-5246.5601,-2114.3181
86,152,0,-6287.6621,-5873.8237,-2478.5239
88,152,0,-7093.002,-6599.8237,-2905.2341
90,152,0,-8060.6123,-7441.9839,-3386.0342
92,152,0,-9240.9766,-8423.5361,-3904.0962
94,152,0,-10325.1807,-9296.6719,-4333.21
94,154,0,-9227.7539,-9347.0078,-4011.074
92,154,0,-8220.4785,-8499.04,-3618.02
90,154,0,-7184.354,-7519.4238,-3150.4421
88,154,0,-6335.7422,-6673.3921,-2705.7021
86,154,0,-5628.9663,-5941.584,-2312.6479
84,154,0,-5039.9863,-5312.3838,-1977.29
82,154,0,-4535.146,-4762.5601,-1690.0121
80,154,0,-4077.1841,-4274.688,-1442.4
80,156,0,-3619.2222,-4288.2397,-1333.0181
82,156,0,-3976.2161,-4764.4961,-1549.3781
84,156,0,-4395.7139,-5310.4478,-1806.6061
86,156,0,-4892.1401,-5937.7119,-2111.9141
88,156,0,-5487.1299,-6663.7119,-2466.5042
90,156,0,-6211.936,-7507.8081,-2871.5781
92,156,0,-7102.6182,-8485.4883,-3297.0862
94,156,0,-7903.1499,-9333.4561,-3639.656
94,158,0,-6799.7144,-9257.9521,-3307.9041
92,158,0,-6077.312,-8423.5361,-3000.1921
90,158,0,-5336.8799,-7459.4082,-2620.3601
88,158,0,-4735.8799,-6626.9277,-2260.9622
86,158,0,-4239.4541,-5908.6719,-1938.826
84,158,0,-3825.9661,-5291.0879,-1664.77
82,158,0,-3472.5781,-4747.0718,-1430.38
80,158,0,-3168.4722,-4270.8159,-1230.848
80,160,0,-2718.9241,-4224.3521,-1117.86
82,160,0,-2955.718,-4685.1201,-1292.15
84,160,0,-3229.7742,-5209.7759,-1498.894
86,160,0,-3550.708,-5809.936,-1742.9
88,160,0,-3940.156,-6506.896,-2027.774
90,160,0,-4407.7339,-7314.208,-2346.304
92,160,0,-4994.3101,-8258.9756,-2681.6621
94,160,0,-5531.604,-9070.1602,-2944.9001
94,162,0,-4443.7939,-8832.0322,-2617.9561
92,162,0,-4002.6602,-8046.0161,-2390.7781
90,162,0,-3563.9302,-7138.0317,-2103.5
88,162,0,-3214.1479,-6363.6318,-1824.636
86,162,0,-2923.2642,-5687.9678,-1575.822
84,162,0,-2680.46,-5105.2319,-1357.058
82,162,0,-2471.312,-4596.064,-1170.748
80,162,0,-2288.6082,-4148.8481,-1012.084
80,164,0,-1872.7161,-4044.304,-903.904
