x,y,z,Bx,By,Bz
200,190,0,849.814,-4382.4922,-1711.424
210,190,0,-73.322,-2982.1621,-1058.9919
210,200,0,842.602,-2200.8621,-336.864
200,200,0,2175.6201,-2974.95,-114.224
190,200,0,5482.3223,-4055.5481,1533.312
180,200,0,6516.042,-1347.442,7136.0962
170,200,0,-2113.116,2126.3381,13972.1123
160,200,0,-6784.0879,730.816,4772.2397
150,200,0,-6716.7759,-306.51,414.304
140,200,0,-6888.6621,-1278.928,-3608.7041
130,200,0,-5515.978,-2828.3062,-11319.792
120,200,0,6830.9663,-1762.1321,-9486.4004
110,200,0,6672.3022,1938.826,-2054.0959
100,200,0,2664.834,2527.8062,162.624
90,200,0,1114.254,1989.3101,313.632
90,210,0,1341.432,1052.952,-131.648
100,210,0,2555.4521,870.248,-679.536
110,210,0,4264.6963,-207.946,-2911.7439
120,210,0,3126.4021,-2756.186,-6111.9521
130,210,0,-2424.4341,-3455.75,-8611.3281
140,210,0,-5607.3301,-1161.1321,-3070.4961
150,210,0,-5624.1582,-150.25,313.632
160,210,0,-5392.1719,909.914,4044.304
170,210,0,-763.27,3358.3879,8030.5278
180,210,0,2994.1821,1729.678,6204.8799
190,210,0,4563.9941,-323.338,3204.0801
200,210,0,2506.1702,-1359.462,755.04
210,210,0,1259.696,-1358.26,143.264
210,220,0,1199.5961,-662.302,292.336
200,220,0,1959.26,-283.672,818.928
190,220,0,2798.2561,775.29,2121.856
180,220,0,1448.41,1754.92,4433.4399
170,220,0,-893.086,2399.1921,4226.2881
160,220,0,-3355.9841,1784.9701,3024.032
150,220,0,-4214.2119,-344.974,592.416
140,220,0,-3805.532,-2132.3481,-2985.312
130,220,0,-1170.748,-3246.6021,-4104.3198
120,220,0,1149.1121,-2527.8062,-3781.0081
110,220,0,2496.554,-1287.342,-2007.632
100,220,0,1835.454,-99.766,-784.08
90,220,0,1156.324,379.832,-311.696
90,230,0,845.006,20.434,-305.888
100,230,0,1125.072,-423.104,-592.416
110,230,0,1187.576,-1205.6061,-1111.264
120,230,0,277.662,-2126.3381,-1796.608
130,230,0,-938.762,-2311.446,-516.912
140,230,0,-1815.02,-512.052,-454.96
150,230,0,-2542.23,236.794,-83.248
160,230,0,-2226.104,1149.1121,1529.4399
170,230,0,-823.37,1628.7101,2902.064
180,230,0,1138.2941,1929.2101,2309.6479
190,230,0,1554.186,933.954,1256.464
200,230,0,1330.614,173.088,638.88
210,230,0,961.6,-237.996,292.336
210,240,0,692.352,-44.474,224.576
200,240,0,834.188,268.046,420.112
190,240,0,825.774,726.008,700.832
180,240,0,494.022,1220.03,1028.016
170,240,0,-278.864,1432.7841,1258.4
160,240,0,-1256.09,873.854,1033.824
150,240,0,-1585.438,-213.956,199.408
140,240,0,-1188.7781,-986.842,-551.76
130,240,0,-495.224,-1191.182,-813.12
120,240,0,85.342,-1208.01,-782.144
110,240,0,528.88,-881.066,-590.48
100,240,0,637.06,-468.78,-383.328
90,240,0,562.536,-156.26,-230.384
90,250,0,353.388,-182.704,-170.368
100,250,0,348.58,-372.62,-245.872
110,250,0,233.188,-581.768,-327.184
120,250,0,-27.646,-721.2,-373.648
130,250,0,-383.438,-688.746,-327.184
140,250,0,-715.19,-424.306,-141.328
150,250,0,-832.986,43.272,145.2
160,250,0,-622.636,524.072,404.624
170,250,0,-200.734,775.29,516.912
180,250,0,198.33,727.21,478.192
190,250,0,433.922,504.84,365.904
200,250,0,503.638,248.814,240.064
210,250,0,463.972,38.464,133.584
210,250,10,377.428,-24.04,154.88
200,250,10,390.65,123.806,261.36
190,250,10,317.328,292.086,381.392
180,250,10,125.008,419.498,470.448
170,250,10,-162.27,425.508,470.448
160,250,10,-436.326,262.036,334.928
150,250,10,-561.334,-22.838,92.928
140,250,10,-485.608,-302.904,-152.944
130,250,10,-270.45,-473.588,-315.568
120,250,10,-18.03,-504.84,-369.776
110,250,10,181.502,-420.7,-336.864
100,250,10,281.268,-278.864,-261.36
90,250,10,296.894,-139.432,-181.984
90,240,10,451.952,-100.968,-243.936
100,240,10,479.598,-310.116,-396.88
110,240,10,361.802,-558.93,-576.928
120,240,10,40.868,-740.432,-691.152
130,240,10,-396.66,-716.392,-629.2
140,240,10,-789.714,-469.982,-365.904
150,240,10,-959.196,-57.696,102.608
160,240,10,-764.472,373.822,613.712
170,240,10,-266.844,639.464,909.92
180,240,10,242.804,611.818,877.008
190,240,10,536.092,379.832,658.24
200,240,10,601.0,111.786,418.176
210,240,10,528.88,-96.16,224.576
210,230,10,710.382,-269.248,284.592
200,230,10,896.692,-20.434,602.096
190,230,10,893.086,370.216,1072.5439
180,230,10,454.356,736.826,1544.928
170,230,10,-399.064,801.734,1604.944
160,230,10,-1198.394,491.618,1049.312
150,230,10,-1503.702,-75.726,152.944
140,230,10,-1244.0701,-688.746,-671.792
130,230,10,-576.96,-1078.194,-1190.64
120,230,10,191.118,-1037.326,-1289.376
110,230,10,697.16,-669.514,-979.616
100,230,10,783.704,-254.824,-588.544
90,230,10,652.686,37.262,-311.696
90,220,10,872.652,316.126,-315.568
100,220,10,1206.808,12.02,-753.104
110,220,10,1263.302,-544.506,-1508.144
120,220,10,563.738,-1152.718,-2259.312
130,220,10,-757.26,-1339.0281,-2298.032
140,220,10,-1914.786,-876.258,-1339.712
150,220,10,-2258.5581,-141.836,183.92
160,220,10,-1744.1021,527.678,1666.896
170,220,10,-502.436,848.612,2530.3521
180,220,10,788.512,620.232,2421.936
190,220,10,1406.34,87.746,1585.584
200,220,10,1259.696,-376.226,762.784
210,220,10,877.46,-598.596,288.464
210,210,10,920.732,-1092.618,129.712
200,210,10,1546.974,-1054.1541,687.28
190,210,10,2010.946,-669.514,1881.792
180,210,10,1405.1381,92.554,3312.4961
170,210,10,-480.8,622.636,3757.7759
160,210,10,-2335.4861,356.994,2375.4719
150,210,10,-2980.96,-211.552,216.832
140,210,10,-2595.1182,-798.128,-1976.656
130,210,10,-943.57,-1233.2521,-3647.4241
120,210,10,1198.394,-908.712,-3418.9761
110,210,10,2031.38,-4.808,-1955.36
100,210,10,1645.5381,609.414,-751.168
90,210,10,1018.094,804.138,-187.792
90,200,10,968.812,1414.754,209.088
100,200,10,1942.432,1490.48,-276.848
110,200,10,2959.324,1019.296,-1870.176
120,200,10,2196.054,-68.514,-4446.9922
130,200,10,-984.438,-723.604,-4987.1357
140,200,10,-3104.7661,-568.546,-2596.176
150,200,10,-3512.2441,-259.632,181.984
160,200,10,-2760.9941,-14.424,2956.272
170,200,10,-231.986,-135.826,4913.5679
180,200,10,2397.99,-1074.588,3720.9919
190,200,10,2579.4919,-1915.988,1407.472
200,200,10,1566.2061,-1974.886,118.096
210,200,10,723.604,-1681.598,-288.464
210,190,10,235.592,-2198.458,-969.936
200,190,10,1180.364,-2812.6799,-1026.08
190,190,10,2894.416,-3099.958,-94.864
180,190,10,3586.7681,-2419.626,3070.4961
170,190,10,504.84,-1252.484,5428.5439
160,190,10,-2722.53,-604.606,3351.2161
150,190,10,-3649.272,-338.964,141.328
140,190,10,-3215.3501,-153.856,-3118.896
130,190,10,-602.202,230.784,-5966.752
120,190,10,3442.5281,1317.392,-4745.1357
110,190,10,3783.896,2376.354,-952.512
100,190,10,1905.17,2480.928,762.784
90,190,10,638.262,2022.9661,904.112
90,180,10,7.212,2428.04,1841.136
100,180,10,1467.642,3192.512,2344.4961
110,180,10,4277.918,3503.8301,1000.912
120,180,10,4812.8081,2769.408,-3751.968
130,180,10,390.65,1513.318,-6098.3999
140,180,10,-2693.6821,503.638,-3320.24
150,180,10,-3164.866,-381.034,61.952
160,180,10,-2078.2581,-1328.2101,3324.1121
170,180,10,1599.8621,-2448.4741,5041.3437
180,180,10,4658.9521,-3563.9302,1510.08
190,180,10,2913.6479,-3924.53,-2205.104
200,180,10,484.406,-3341.5601,-2541.968
210,180,10,-502.436,-2491.7461,-1848.88
210,170,10,-1371.4821,-2461.696,-2782.032
200,170,10,-426.71,-3414.8821,-4189.5039
190,170,10,2604.7341,-4213.0103,-4567.0239
180,170,10,5371.7383,-4267.1001,-687.28
170,170,10,2817.488,-3414.8821,3705.5039
160,170,10,-847.41,-1954.452,2669.7439
150,170,10,-1961.6641,-313.722,-106.48
140,170,10,-1509.712,1339.0281,-3070.4961
130,170,10,1656.3561,2892.012,-5310.4478
120,170,10,5853.7402,3984.6301,-1922.448
110,170,10,4325.998,4167.334,3362.832
100,170,10,699.564,3476.1841,4143.04
90,170,10,-849.814,2497.7561,2871.0879
90,160,10,-1792.182,2143.166,3802.304
100,160,10,-355.792,3178.0881,5825.4238
110,160,10,3782.6941,4289.938,5808.0
