x,y,z,Bx,By,Bz
130,200,0,-7011.2661,-1783.7681,-5966.752
120,200,0,1460.4301,-2748.9741,-14020.5117
110,200,0,7101.416,573.354,-5203.9678
100,200,0,4152.9102,2435.252,-286.528
90,200,0,1937.624,2006.1381,96.8
90,210,0,2077.0562,915.924,-410.432
100,210,0,3811.542,596.192,-1628.176
110,210,0,4098.8203,-825.774,-4656.0801
120,210,0,751.25,-2911.2441,-8992.7197
130,210,0,-5687.8643,-1367.876,-4783.856
140,210,0,-5709.5,-306.51,-989.296
150,210,0,-5715.5103,627.444,1881.792
160,210,0,-4777.9502,1795.7881,6741.1519
170,210,0,2501.3621,3096.3521,7128.3521
180,210,0,4231.04,528.88,3806.176
190,210,0,2964.1321,-943.57,1024.144
200,210,0,1602.266,-1173.152,265.232
200,220,0,1391.916,-457.962,423.984
190,220,0,2139.5601,96.16,1078.3521
180,220,0,2574.6841,1295.756,2838.176
170,220,0,1040.932,2224.9021,3997.8401
160,220,0,-2147.9741,2104.7021,5337.5518
150,220,0,-4984.6938,1058.962,1513.952
140,220,0,-4464.228,-152.654,-1300.9919
130,220,0,-3526.668,-2075.854,-3478.9919
120,220,0,-908.712,-1740.496,-5997.728
110,220,0,3170.876,-1140.698,-5407.248
100,220,0,2913.6479,-639.464,-1432.64
90,220,0,1741.698,96.16,-522.72
90,230,0,1228.444,-300.5,-429.792
100,230,0,1748.91,-1044.538,-880.88
110,230,0,2452.0801,-2656.4202,-2220.592
120,230,0,48.08,-2696.0859,-6820.5278
130,230,0,-3045.8682,-816.158,-2938.8479
140,230,0,-3246.6021,-669.514,-1333.9041
150,230,0,-3263.4302,788.512,290.4
160,230,0,-1625.104,2377.5562,3343.4719
170,230,0,585.374,2114.3181,2735.5679
180,230,0,1400.3301,1331.816,1506.208
190,230,0,1337.826,461.568,789.888
200,230,0,1037.326,-49.282,387.2
200,240,0,703.17,99.766,288.464
190,240,0,770.482,454.356,503.36
180,240,0,625.04,933.954,782.144
170,240,0,58.898,1388.3101,1041.568
160,240,0,-1024.104,1264.504,950.576
150,240,0,-1720.062,213.956,271.04
140,240,0,-1861.8981,-836.592,-456.896
130,240,0,-1575.822,-2293.416,-1225.488
120,240,0,150.25,-2779.0242,-1318.416
110,240,0,823.37,-1722.4661,-797.632
100,240,0,888.278,-933.954,-491.744
90,240,0,762.068,-432.72,-298.144
90,250,0,441.134,-387.044,-203.28
100,250,0,420.7,-670.716,-280.72
110,250,0,244.006,-996.458,-362.032
120,250,0,-173.088,-1205.6061,-396.88
130,250,0,-704.372,-1014.488,-307.824
140,250,0,-988.044,-474.79,-79.376
150,250,0,-925.54,127.412,201.344
160,250,0,-566.142,584.172,406.56
170,250,0,-91.352,732.018,460.768
180,250,0,258.43,598.596,391.072
190,250,0,418.296,366.61,274.912
200,250,0,437.528,146.644,162.624
200,250,10,343.772,66.11,178.112
190,250,10,307.712,217.562,286.528
180,250,10,167.078,365.408,387.2
170,250,10,-98.564,435.124,425.92
160,250,10,-426.71,335.358,340.736
150,250,10,-667.11,48.08,116.16
140,250,10,-706.776,-332.954,-176.176
130,250,10,-509.648,-669.514,-437.536
120,250,10,-147.846,-810.148,-553.696
110,250,10,170.684,-716.392,-503.36
100,250,10,334.156,-513.254,-385.264
90,250,10,371.418,-308.914,-271.04
90,240,10,602.202,-313.722,-394.944
100,240,10,627.444,-623.838,-648.56
110,240,10,430.316,-991.65,-995.104
120,240,10,-151.452,-1194.788,-1264.208
130,240,10,-884.672,-942.368,-1033.824
140,240,10,-1215.222,-405.074,-422.048
150,240,10,-1135.89,162.27,207.152
160,240,10,-686.342,599.798,706.64
170,240,10,-75.726,704.372,847.968
