x,y,z,Bx,By,Bz
210,190,0,805.34,-1876.322,-276.848
210,200,0,1103.436,-1175.556,92.928
200,200,0,2089.0759,-1216.4241,501.424
190,200,0,3919.7222,-721.2,1910.832
180,200,0,4068.77,1542.166,5482.752
170,200,0,-379.832,3365.6001,9813.584
160,200,0,-5779.2163,1405.1381,4077.2161
150,200,0,-5939.082,358.196,607.904
140,200,0,-6084.5239,-698.362,-2480.0159
130,200,0,-5067.6323,-1883.5341,-8413.8555
120,200,0,3955.782,-2268.1741,-7784.6558
110,200,0,5053.208,379.832,-3275.7119
100,200,0,3067.5042,1266.9081,-664.048
90,200,0,1605.8721,1248.8781,-83.248
90,210,0,1504.9041,482.002,-296.208
100,210,0,2559.0581,45.676,-892.496
110,210,0,3960.5901,-769.28,-3289.2639
120,210,0,1854.686,-1151.516,-5726.688
130,210,0,-2884.8,-2726.136,-5780.896
140,210,0,-4750.3042,-586.576,-2714.272
150,210,0,-4892.1401,707.978,89.056
160,210,0,-4707.0322,1435.188,4179.8242
170,210,0,68.514,2494.1501,5132.3359
180,210,0,1955.6541,1716.4561,3753.9041
190,210,0,2641.9961,509.648,1812.0959
200,210,0,1774.152,-319.732,722.128
210,210,0,1098.6281,-603.404,282.656
210,220,0,891.884,-228.38,294.272
200,220,0,1236.858,121.402,607.904
190,220,0,1514.52,822.168,1184.832
180,220,0,1292.15,1842.666,2336.752
170,220,0,-215.158,2322.2642,3517.7119
160,220,0,-3672.1101,1946.0381,2191.552
150,220,0,-3488.2041,135.826,-495.616
140,220,0,-3090.342,-609.414,-1965.04
130,220,0,-3110.7761,-794.522,-4870.9761
120,220,0,2203.2661,-2924.4661,-6251.3437
110,220,0,2608.3401,-1789.7781,-1705.616
100,220,0,1745.3041,-569.748,-695.024
90,220,0,1169.546,-12.02,-311.696
90,230,0,807.744,-213.956,-253.616
100,230,0,1037.326,-661.1,-449.152
110,230,0,1177.96,-1431.582,-789.888
120,230,0,1008.478,-2727.3381,-1465.552
130,230,0,-811.35,-3887.2681,-3025.968
140,230,0,-2304.2341,-1597.458,-1233.2319
150,230,0,-2134.752,-213.956,-228.448
160,230,0,-1754.92,865.44,588.544
170,230,0,-509.648,1629.912,1217.744
180,230,0,445.942,1282.5341,1029.952
190,230,0,780.098,724.806,696.96
200,230,0,781.3,276.46,416.24
210,230,0,646.676,-15.626,224.576
210,240,0,444.74,50.484,158.752
200,240,0,474.79,251.218,267.168
190,240,0,391.852,502.436,398.816
180,240,0,121.402,729.614,514.976
170,240,0,-365.408,756.058,534.336
160,240,0,-881.066,391.852,373.648
150,240,0,-1141.9,-266.844,61.952
140,240,0,-1028.912,-994.054,-280.72
130,240,0,-478.396,-1504.9041,-505.296
120,240,0,171.886,-1381.098,-499.488
110,240,0,494.022,-967.61,-389.136
100,240,0,568.546,-574.556,-271.04
90,240,0,516.86,-278.864,-176.176
90,250,0,317.328,-248.814,-129.712
100,250,0,305.308,-421.902,-170.368
110,250,0,206.744,-611.818,-209.088
120,250,0,-6.01,-748.846,-228.448
130,250,0,-304.106,-724.806,-195.536
140,250,0,-550.516,-490.416,-98.736
150,250,0,-621.434,-138.23,42.592
160,250,0,-497.628,191.118,172.304
170,250,0,-247.612,391.852,245.872
180,250,0,8.414,423.104,247.808
190,250,0,187.512,334.156,201.344
200,250,0,270.45,199.532,137.456
210,250,0,282.47,72.12,77.44
210,250,10,231.986,25.242,90.992
200,250,10,211.552,120.2,151.008
190,250,10,135.826,213.956,209.088
180,250,10,-9.616,270.45,240.064
170,250,10,-205.542,241.602,216.832
160,250,10,-387.044,98.564,121.968
150,250,10,-472.386,-134.624,-29.04
140,250,10,-417.094,-379.832,-187.792
130,250,10,-233.188,-548.112,-300.08
120,250,10,-3.606,-573.354,-331.056
110,250,10,171.886,-483.204,-296.208
100,250,10,259.632,-343.772,-234.256
90,250,10,277.662,-209.148,-172.304
90,240,10,433.922,-215.158,-240.064
100,240,10,454.356,-425.508,-367.84
110,240,10,360.6,-677.928,-532.4
120,240,10,80.534,-891.884,-679.536
130,240,10,-367.812,-888.278,-679.536
140,240,10,-733.22,-587.778,-437.536
150,240,10,-823.37,-164.674,-83.248
160,240,10,-655.09,218.764,243.936
170,240,10,-311.318,442.336,439.472
180,240,10,34.858,448.346,460.768
190,240,10,256.026,317.328,375.584
200,240,10,342.57,151.452,257.488
210,240,10,338.964,9.616,151.008
210,230,10,484.406,-57.696,214.896
200,230,10,546.91,137.028,398.816
190,230,10,483.204,406.276,636.944
180,230,10,180.3,668.312,873.136
170,230,10,-409.882,748.846,913.792
160,230,10,-1054.1541,462.77,528.528
150,230,10,-1355.8561,-105.776,-152.944
140,230,10,-1246.474,-713.988,-919.6
130,230,10,-605.808,-1191.182,-1541.056
120,230,10,274.056,-1227.2421,-1450.064
110,230,10,709.18,-861.834,-973.808
100,230,10,757.26,-454.356,-580.8
90,230,10,645.474,-156.26,-329.12
