x,y,z,Mx,My,Mz
108.0,161.0,-10.0,-30947.90621585803,-62545.70274984408,-4115.85092655287
108.0,161.0,-5.0,-26903.856258816613,-61164.902096946455,-6073.2547574744185
108.0,161.0,0.0,-24071.9477388572,-61004.8924201271,-6523.2467125934345
108.0,166.0,-30.0,-22058.035421424145,-61363.914345290985,5631.218351597443
108.0,166.0,-25.0,-26575.9662833527,-62061.46660557155,5918.487775643758
108.0,166.0,-20.0,-29344.668881148427,-61815.77046866352,4060.0922133805184
108.0,166.0,-15.0,-31507.630898075717,-62501.09369361626,-2.039827543343656e-09
108.0,166.0,-10.0,-29344.66888114769,-61815.770468664174,-4060.0922133837394
108.0,166.0,-5.0,-26575.96628335329,-62061.466605572496,-5918.487775646021
108.0,166.0,0.0,-22058.035421427103,-61363.914345291945,-5631.218351599502
108.0,171.0,-30.0,-21516.203872937404,-59691.390944080325,5770.334156830192
108.0,171.0,-25.0,-23689.654868160513,-59810.592088670826,5533.310558466245
108.0,171.0,-20.0,-26956.703514363075,-61065.25296689916,3729.479376793933
108.0,171.0,-15.0,-28709.23515998894,-61412.529934386366,-1.9997689658059525e-09
108.0,171.0,-10.0,-26956.703514364315,-61065.25296690093,-3729.4793767967726
108.0,171.0,-5.0,-23689.654868162303,-59810.592088672034,-5533.31055846882
108.0,171.0,0.0,-21516.2038729388,-59691.3909440821,-5770.334156832125
108.0,176.0,-30.0,-18397.21103037057,-57477.11968303607,4600.367292741683
108.0,176.0,-25.0,-22042.18739944769,-58148.13126256659,5411.992071636877
108.0,176.0,-20.0,-23772.629103140967,-58230.85652155604,3601.8677096992487
108.0,176.0,-15.0,-25202.882314578143,-58927.23022049664,-1.3396201071512992e-09
108.0,176.0,-10.0,-23772.629103142444,-58230.85652155718,-3601.867709701037
108.0,176.0,-5.0,-22042.187399448652,-58148.13126256756,-5411.9920716398265
108.0,176.0,0.0,-18397.21103037155,-57477.119683037556,-4600.367292742297
108.0,181.0,-30.0,-17571.276816294474,-53052.01764147289,4702.279088713137
108.0,181.0,-25.0,-18924.858363902404,-53468.186962375235,4591.995818344483
108.0,181.0,-20.0,-21135.715113037924,-54687.32228320506,3057.4178384900038
108.0,181.0,-15.0,-21998.977278068043,-55224.72874941576,-3.4935436879561915e-10
108.0,181.0,-10.0,-21135.715113039067,-54687.32228320584,-3057.4178384917673
108.0,181.0,-5.0,-18924.858363903168,-53468.18696237585,-4591.995818344528
108.0,181.0,0.0,-17571.27681629497,-53052.01764147398,-4702.279088714522
108.0,186.0,-30.0,-16239.172656232065,-47677.60639278787,2780.350427104634
108.0,186.0,-25.0,-18597.63106424029,-48740.28567849913,3973.7537563139654
108.0,186.0,-20.0,-19018.08661626844,-49790.6923927441,2375.512001056776
