x,y,z,Mx,My,Mz
106.0,227.0,-8.0,0.0,0.0,0.0
106.0,227.0,-3.0,0.0,0.0,0.0
111.0,127.0,-28.0,400.13273998851884,-87112.68521963946,30773.644829239292
111.0,127.0,-23.0,-6256.947309962341,-114237.05055844715,25132.031433875694
111.0,127.0,-18.0,-8414.868866621151,-128623.81034524263,12740.49450429754
111.0,127.0,-13.0,-11547.793320954299,-134715.75364975235,5529.406715228732
111.0,127.0,-8.0,-10547.408391428762,-134057.01804037025,-7723.580102087996
111.0,127.0,-3.0,-6992.648734128368,-119846.25987756299,-20312.32965367256
111.0,132.0,-28.0,-7717.410016683919,-88375.85967089001,18574.55137379986
111.0,132.0,-23.0,-11423.714663836581,-109142.57284351476,19611.19175635145
111.0,132.0,-18.0,-20034.408459148894,-127711.61575994389,11213.217410432935
111.0,132.0,-13.0,-21943.884951161184,-134400.4384911173,1223.6050612650743
111.0,132.0,-8.0,-19722.538070601113,-129563.80445818066,-8597.506866009771
111.0,132.0,-3.0,-15639.345698898796,-115235.95179255994,-13213.51185664685
111.0,137.0,-28.0,-13092.419943673645,-88574.54359269132,7374.540713869563
111.0,137.0,-23.0,-23225.228365998875,-107413.39835833632,11300.54281414189
111.0,137.0,-18.0,-28321.621268431532,-121604.13977359413,8478.509596575243
111.0,137.0,-13.0,-32996.41141149159,-129166.75500661772,-1211.222160402057
111.0,137.0,-8.0,-30220.812414579756,-123165.21317752148,-5978.384722468636
111.0,137.0,-3.0,-23877.808934651493,-111240.1686805445,-3067.5724905154784
111.0,142.0,-28.0,-19797.898910778535,-94259.59724122907,1021.310654555979
111.0,142.0,-23.0,-28179.276536364276,-104510.9806344228,1683.923364414081
111.0,142.0,-18.0,-40188.180495062574,-116424.7363203029,1576.1851278561492
111.0,142.0,-13.0,-43365.62234655237,-121261.27378388155,772.2188702183454
111.0,142.0,-8.0,-39108.416519914106,-117097.57608947498,-1040.4038095666842
111.0,142.0,-3.0,-32820.773064562796,-112574.65630240178,1887.0349603326172
111.0,147.0,-28.0,-23693.040436257495,-93538.34580063378,-2321.699497697189
111.0,147.0,-23.0,-37572.413975831114,-105195.06748863829,-3083.2563726356534
111.0,147.0,-18.0,-44573.54830734916,-110273.14307625405,-1211.9702136338435
111.0,147.0,-13.0,-49343.4159242287,-115425.49743801329,390.59390370010937
111.0,147.0,-8.0,-46386.34747787332,-114698.93478770948,4243.914004442582
111.0,147.0,-3.0,-37208.504559420355,-111659.54124663994,5194.499553129591
111.0,152.0,-28.0,-25582.881869780213,-93518.1644063394,-4255.979042859289
111.0,152.0,-23.0,-36150.3568997216,-100621.00372534718,-4418.934184048813
111.0,152.0,-18.0,-49523.16696400685,-108907.92599824759,-2576.9741457957844
111.0,152.0,-13.0,-53002.61140318639,-112360.50554992366,1045.4011939331442
111.0,152.0,-8.0,-47931.52101065451,-110923.61264733736,3062.2979273275214
111.0,152.0,-3.0,-40341.14589672632,-109332.74954228882,7196.835468452316
111.0,157.0,-28.0,-26063.911772930627,-91001.37168068436,-5001.682223543954
111.0,157.0,-23.0,-40386.5891236113,-100900.91540267954,-6118.788757197094
111.0,157.0,-18.0,-47497.6391171092,-104613.96662823338,-3230.713156795721
111.0,157.0,-13.0,-52319.40701629482,-109108.11102483401,111.4090162251066
111.0,157.0,-8.0,-49369.0267205147,-108783.42614548905,5847.131703528208
111.0,157.0,-3.0,-40076.011101894015,-106950.69799589849,8273.42401976673
111.0,162.0,-28.0,-25168.808502206302,-89098.19438430814,-5890.502867657655
111.0,162.0,-23.0,-35484.64800332444,-95182.46411787116,-5741.895618273959
111.0,162.0,-18.0,-48030.6376640424,-102395.76119644016,-3692.699700529595
111.0,162.0,-13.0,-51203.26114406184,-105407.97879033166,379.75861519539075
111.0,162.0,-8.0,-46599.56870550389,-104314.25635438412,3136.4537956816257
111.0,162.0,-3.0,-38947.06860869544,-103623.47705278316,7889.381392357064
111.0,167.0,-28.0,-24106.87383809846,-83870.37426818917,-5618.382385428677
111.0,167.0,-23.0,-37435.27212148025,-92737.625241388,-6552.391209349741
111.0,167.0,-18.0,-43369.422048002816,-95687.84283797287,-3783.419719025018
111.0,167.0,-13.0,-47613.929135032944,-99789.82183375549,-777.049313161398
111.0,167.0,-8.0,-45128.565162369654,-99827.30876867687,4752.754919483273
111.0,167.0,-3.0,-36677.19498029074,-98308.47993213803,7568.277381083856
111.0,172.0,-28.0,-23336.6860088487,-79285.49059567899,-6187.01074221348
111.0,172.0,-23.0,-32213.218039968426,-84251.81478165598,-5593.786927232879
111.0,172.0,-18.0,-43050.14923767295,-90693.27851226318,-3813.316139944159
111.0,172.0,-13.0,-45529.31944824836,-93373.98047944656,-619.1315832322666
111.0,172.0,-8.0,-41454.745318246794,-92209.9041820224,1727.3001482570733
111.0,172.0,-3.0,-34718.40977499206,-92013.06881454274,6580.821919255003
111.0,177.0,-28.0,-24013.09810072768,-71426.21861800578,-5518.987158732386
111.0,177.0,-23.0,-35268.81707862024,-79875.63949202071,-6646.3554966031315
111.0,177.0,-18.0,-39225.60630337753,-82406.3472793215,-3863.711943192519
111.0,177.0,-13.0,-42534.56618897431,-85811.47642686042,-1473.2499076540253
111.0,177.0,-8.0,-40642.38037218035,-85947.29607290696,3520.6890921818817
111.0,177.0,-3.0,-33938.04389408739,-83577.71483794184,5765.478234144516
111.0,182.0,-28.0,-24947.13535722299,-66838.21559490943,-5667.6274768305275
111.0,182.0,-23.0,-31896.506122507533,-71487.38055364574,-5348.379551681795
111.0,182.0,-18.0,-40689.52095673609,-77871.94102479736,-3956.2851000254736
111.0,182.0,-13.0,-42017.576122434344,-80173.24135415975,-781.181158606905
111.0,182.0,-8.0,-39049.56759723458,-78215.27603698097,726.9473685681353
111.0,182.0,-3.0,-33971.18922173885,-78042.64679733376,4485.422776472046
111.0,187.0,-28.0,-25146.784269837728,-62510.26118134813,-4251.071546009487
111.0,187.0,-23.0,-34241.30259575172,-69808.4708321126,-4475.06076143126
111.0,187.0,-18.0,-37357.724115161756,-71088.59405162772,-2849.686210171713
111.0,187.0,-13.0,-40087.84235604329,-73923.36564941352,-1828.383873258137
111.0,187.0,-8.0,-38424.5242429961,-74632.11068668091,1738.3989771561103
111.0,187.0,-3.0,-33392.9489444619,-73348.90093738133,3426.0663848750037
111.0,192.0,-28.0,-24125.69717729585,-57981.73375202497,-2772.9612634507016
111.0,192.0,-23.0,-28004.81863477222,-62131.60261876266,-1743.0270508413441
111.0,192.0,-18.0,-35415.21002963725,-68456.2050001966,-1319.3326438860543
111.0,192.0,-13.0,-36619.35654871433,-70768.47043044498,-968.3793297464986
111.0,192.0,-8.0,-34089.89750021327,-68167.5604427946,-1223.874593871821
111.0,192.0,-3.0,-30801.658488573696,-68065.68512496709,1455.0479697080582
111.0,197.0,-28.0,-20262.783596948575,-49738.34675141407,1055.280447467702
111.0,197.0,-23.0,-27777.44468517251,-56742.290860185545,166.89436974949115
111.0,197.0,-18.0,-27701.1866814862,-59742.01898253253,-99.8727578952529
111.0,197.0,-13.0,-29475.660808574372,-62423.76547971948,-1198.68537661024
111.0,197.0,-8.0,-30105.044815750054,-60834.74101745399,-548.8568862076378
111.0,197.0,-3.0,-27313.342333453,-58753.99084941658,-1287.71421200227
111.0,202.0,-28.0,-18989.7576268083,-44829.72709829363,2763.1840895696255
111.0,202.0,-23.0,-21029.289098676152,-48481.63510108414,1917.216344330412
111.0,202.0,-18.0,-24238.92456883931,-51677.799279421524,758.8245682127864
111.0,202.0,-13.0,-24684.51370244347,-53583.798299879156,-93.2327164941754
111.0,202.0,-8.0,-25157.706255968023,-52901.8303711949,-2444.5147794250693
111.0,202.0,-3.0,-24372.736770542673,-53054.873060419886,-3119.855302183098
111.0,207.0,-28.0,-16558.119970352524,-37118.176881849395,2541.8866429837294
111.0,207.0,-23.0,-22029.59432892946,-42647.128925622375,2729.0730104973245
111.0,207.0,-18.0,-20879.94919391827,-43784.3352187265,1001.8154334478648
111.0,207.0,-13.0,-22311.652686332658,-45494.75434550591,-498.9945911148065
111.0,207.0,-8.0,-23631.579768524454,-46373.780970888634,-1248.2121596598631
111.0,207.0,-3.0,-21529.056122550744,-45771.09080120509,-3761.0573985072406
111.0,212.0,-28.0,0.0,0.0,0.0
111.0,212.0,-23.0,0.0,0.0,0.0
111.0,212.0,-18.0,0.0,0.0,0.0
111.0,212.0,-13.0,0.0,0.0,0.0
111.0,212.0,-8.0,0.0,0.0,0.0
111.0,212.0,-3.0,0.0,0.0,0.0
111.0,217.0,-28.0,0.0,0.0,0.0
111.0,217.0,-23.0,0.0,0.0,0.0
111.0,217.0,-18.0,0.0,0.0,0.0
111.0,217.0,-13.0,0.0,0.0,0.0
111.0,217.0,-8.0,0.0,0.0,0.0
111.0,217.0,-3.0,0.0,0.0,0.0
111.0,222.0,-28.0,0.0,0.0,0.0
111.0,222.0,-23.0,0.0,0.0,0.0
111.0,222.0,-18.0,0.0,0.0,0.0
111.0,222.0,-13.0,0.0,0.0,0.0
111.0,222.0,-8.0,0.0,0.0,0.0
111.0,222.0,-3.0,0.0,0.0,0.0
111.0,227.0,-28.0,0.0,0.0,0.0
111.0,227.0,-23.0,0.0,0.0,0.0
111.0,227.0,-18.0,0.0,0.0,0.0
111.0,227.0,-13.0,0.0,0.0,0.0
111.0,227.0,-8.0,0.0,0.0,0.0
111.0,227.0,-3.0,0.0,0.0,0.0
116.0,127.0,-28.0,-119.17723315303864,-91343.91443126737,27335.94266173928
116.0,127.0,-23.0,-3532.465426258897,-117120.63126773789,23823.27913158097
116.0,127.0,-18.0,-8738.84065358112,-138325.9381767758,12490.053436097893
116.0,127.0,-13.0,-8805.011567315529,-144483.26767256777,5212.238290986848
116.0,127.0,-8.0,-9975.98172854268,-139636.78512650568,-9975.565432132164
116.0,127.0,-3.0,-5829.117363544356,-125503.70049953979,-16387.155659783486
116.0,132.0,-28.0,-4190.741287518056,-91138.22560638525,15394.167923660203
116.0,132.0,-23.0,-14115.034317207153,-115387.17070919444,15923.670214098665
116.0,132.0,-18.0,-17180.89678428116,-134146.66359008744,11724.776635254482
116.0,132.0,-13.0,-22857.778536687976,-143287.60368630954,696.238317601208
116.0,132.0,-8.0,-19971.82467424057,-135250.2528695253,-6878.601532271806
116.0,132.0,-3.0,-12997.113848459769,-120854.0283442563,-10663.361774065796
116.0,137.0,-28.0,-16833.79423806309,-92810.98555758537,3388.700411139803
116.0,137.0,-23.0,-20855.298140659062,-110104.35811290173,8994.39128529918
116.0,137.0,-18.0,-33048.98239500304,-131621.82960937408,6378.235797787527
116.0,137.0,-13.0,-35339.22435256278,-137893.00699737473,963.0192759922709
116.0,137.0,-8.0,-31135.229377839176,-129600.383463698,-5132.816088935042
116.0,137.0,-3.0,-24504.904969848623,-117035.46360517148,444.92878135377896
116.0,142.0,-28.0,-21174.82163591887,-91567.73605763631,-2967.5123252698
116.0,142.0,-23.0,-35824.84118829057,-111266.51716270417,-1871.1649418329953
116.0,142.0,-18.0,-41490.861694466395,-120765.7681261332,-525.6413364464587
116.0,142.0,-13.0,-46728.53385886143,-126215.87400438482,-406.08151949813015
116.0,142.0,-8.0,-44053.405256324964,-123764.90022881259,3568.892116727079
116.0,142.0,-3.0,-36392.51832351624,-115746.0232920812,3597.72958395176
116.0,147.0,-28.0,-29316.48918520938,-93242.19309180848,-7846.208447884529
